| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Sesame chickpeas brittle (Til aur channe ki chikki)                                    | 1183      | 282.74      | 50.49  | 8.5       | 4.66  | 36.48       | 5.54    |
| Murmura chikki                                                                         | 1062      | 253.82      | 59.59  | 2.12      | 0.32  | 48.27       | 0.37    |
| Masala onion pakora/pakoda (Pyaaz ke pakode)                                           | 2272.16   | 551.64      | 6.48   | 2.05      | 57.61 | 1.58        | 1.44    |
| Masala green chilli pakora/pakoda (Hari mirch kay pakode)                              | 2753.79   | 668.76      | 5.55   | 2.22      | 71.01 | 0.27        | 1.34    |
| Chicken pakora/pakoda                                                                  | 2431.97   | 590.09      | 4.55   | 6.03      | 60.98 | 0.22        | 0.96    |
| Fish pakora/pakoda                                                                     | 2377.29   | 577.03      | 4.55   | 5.97      | 59.52 | 0.22        | 0.96    |
| Paneer cutlet                                                                          | 2770.44   | 672.2       | 7.62   | 4.59      | 69.38 | 2.52        | 0.39    |
| Sago cutlet/vadas (Sabudana cutlet/vadas)                                              | 2302.72   | 558.76      | 11.23  | 0.56      | 56.97 | 0.1         | 0.54    |
| Poshtik cutlet                                                                         | 2045.08   | 496.45      | 7.39   | 2         | 50.94 | 0.32        | 1.35    |
| Egg cutlet (Anda cutlet)                                                               | 2367.91   | 575.02      | 5.77   | 2.45      | 60.25 | 0.2         | 0.58    |
| Minced meat cutlet                                                                     | 2192.59   | 531.86      | 5.61   | 5.1       | 54.47 | 0.31        | 0.4     |
| Vegetable samosa                                                                       | 1826.47   | 443.11      | 13.22  | 2.21      | 42.22 | 0.74        | 1.52    |
| Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada)                 | 3069.41   | 745.5       | 9.7    | 4.39      | 76.32 | 0.16        | 2.27    |
| Masala urad dal vada                                                                   | 2898.74   | 703.78      | 9.93   | 4.32      | 71.62 | 0.7         | 2.71    |
| Khaman (dhokla)                                                                        | 228.09    | 54.73       | 5.36   | 1.92      | 2.8   | 1.36        | 1.49    |
| Instant dhokla                                                                         | 869.35    | 207.11      | 24.11  | 7.66      | 9.37  | 6.86        | 3.57    |
| Tomato ginger chutney (Tamatar adarak ki chutney)                                      | 187.09    | 44.66       | 9.11   | 1.05      | 0.32  | 6.31        | 2.14    |
| Mint tomato chutney (Pudinay aur tamatar ki chutney)                                   | 182.85    | 43.65       | 8.22   | 1.53      | 0.36  | 5.48        | 2.63    |
| Coriander chutney (Hare dhaniye ki chutney)                                            | 179.55    | 42.86       | 8.16   | 1.38      | 0.37  | 5.5         | 2.47    |
| Gooseberry chutney (Amla chutney)                                                      | 179.98    | 43.02       | 8.83   | 1.44      | 0.62  | 0.06        | 4.58    |
| Walnut chutney (Akhrot ki chutney)                                                     | 1550.66   | 370.43      | 8.91   | 9.44      | 33.46 | 4.4         | 3.04    |
| Saunth/Sonth chutney with ginger                                                       | 354.01    | 84.22       | 20.62  | 0.28      | 0.11  | 19.04       | 0.31    |
| Gun powder chutney                                                                     | 1306.86   | 312.34      | 47.65  | 21.55     | 2.67  | 1.16        | 13.95   |
| Dessicated coconut chutney (Sookhe kase nariyal ki chutney)                            | 1447.2    | 346.36      | 36.72  | 12.88     | 15.88 | 10.41       | 13.16   |
| Curd mint dip                                                                          | 320.89    | 76.13       | 9.11   | 4.82      | 2.44  | 7.83        | 0.77    |
| Curd vegetable dip                                                                     | 236.81    | 56.21       | 6.04   | 3.88      | 1.94  | 5.42        | 0.63    |
| Mayonnaise vegetable dip                                                               | 996.69    | 241.27      | 4.8    | 3.01      | 23.44 | 4.39        | 0.41    |
| Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich)                          | 633.31    | 150.68      | 20.51  | 4.03      | 6.31  | 1.79        | 2.1     |
| Tomato sandwich (grilled)                                                              | 796.46    | 189.92      | 21.29  | 6.26      | 9.39  | 2.58        | 1.91    |
| French sandwich (toasted)                                                              | 780.59    | 186.75      | 14.82  | 6.82      | 11.51 | 1.82        | 1.37    |
| Peanut butter cucumber sandwich                                                        | 1022.44   | 243.33      | 29.76  | 9.04      | 10.56 | 2.91        | 3.35    |
| Mint and peanut sandwich                                                               | 1149.34   | 273.59      | 31.83  | 7.18      | 13.88 | 2.78        | 3.67    |
| Spicy chutney sandwich                                                                 | 1050.8    | 249.58      | 34.03  | 8.74      | 9.58  | 3.96        | 3.73    |
| Chicken walnut sandwich (Chicken aur akhrot ke sandwich)                               | 1196.23   | 285.78      | 22.62  | 12.58     | 16.77 | 1.77        | 1.53    |
| Rolled sandwich                                                                        | 1229.14   | 293.07      | 34.69  | 6.45      | 15.29 | 2.7         | 2.07    |
| Ribbon sandwich                                                                        | 1001.35   | 239.26      | 24.76  | 6.26      | 13.37 | 4.66        | 2.92    |
| Checker board sandwich                                                                 | 1451.9    | 348.37      | 25.94  | 7.37      | 24.65 | 2.9         | 2.22    |
| Submarine sandwich                                                                     | 899.78    | 216.92      | 13.6   | 6.09      | 15.32 | 2.5         | 1.24    |
| Cheese open sandwich                                                                   | 1149.18   | 274.07      | 28.42  | 9.84      | 14.24 | 3.24        | 1.74    |
| Sunset and sunrise open sandwich                                                       | 1008.85   | 241.31      | 18.89  | 8.58      | 15.14 | 1.95        | 1.39    |
| Danish luncheon sandwich                                                               | 812.59    | 193.82      | 17.77  | 9.03      | 10.1  | 1.13        | 1.52    |
| Chicken and corn open sandwich                                                         | 789.41    | 188.16      | 19.21  | 8.63      | 8.83  | 2.48        | 1.67    |
| Chocolate sponge cake                                                                  | 1011.33   | 239.86      | 39.54  | 9.13      | 5.51  | 25          | 0.52    |
| Chocolate swiss roll                                                                   | 1275.42   | 306.08      | 26.97  | 6.01      | 19.76 | 18.83       | 0.29    |
| Lemon curd filling                                                                     | 945.72    | 225.62      | 26.41  | 3.43      | 12.58 | 26.13       | 0       |
| Jam filling                                                                            | 772.43    | 184.62      | 46.15  | 0         | 0     | 41.54       | 0       |
| Chocolate pastry                                                                       | 1022.02   | 243.37      | 32.24  | 7.05      | 10.12 | 22.34       | 0.32    |
| Assorted pastry                                                                        | 968.81    | 230.74      | 31.99  | 6.78      | 8.91  | 19.7        | 0.43    |
| Orange gateau                                                                          | 748.22    | 178.05      | 27.01  | 4.78      | 6.02  | 18.33       | 0.68    |
| Black forest gateau                                                                    | 915.48    | 217.82      | 30.57  | 5.94      | 8.58  | 21.97       | 0.28    |
| Lemon cake                                                                             | 1560.33   | 373.85      | 43.1   | 5.29      | 20.63 | 25.84       | 0.62    |
| Dundee cake                                                                            | 1656.16   | 396.62      | 41.4   | 7.78      | 22.7  | 21.3        | 1.81    |
| Victorian sandwich cake                                                                | 1557.31   | 373.09      | 44.74  | 5.18      | 19.83 | 28.18       | 0.59    |
| Chocolate eggless cake                                                                 | 1308.4    | 312.01      | 43.45  | 6.66      | 13.19 | 34.2        | 0.32    |
| Orange eggless cake                                                                    | 1491.28   | 355.62      | 52.65  | 7.16      | 13.82 | 37.87       | 0.56    |
| Chocolate glace icing                                                                  | 1832.75   | 436.29      | 62.43  | 3.22      | 20.8  | 59.88       | 0       |
| Butter icing                                                                           | 2099.69   | 500.72      | 71.64  | 0.19      | 25.37 | 71.64       | 0       |
| Chocolate butter icing                                                                 | 1967.95   | 469.59      | 61.72  | 3.21      | 24.77 | 59.82       | 0       |
| Almond biscuit (Badam ke biscuit)                                                      | 1702.04   | 407.74      | 52.14  | 6.25      | 19.7  | 22.19       | 1.5     |
| Orange biscuit                                                                         | 1488.94   | 354.78      | 62.11  | 3.63      | 11.01 | 42.63       | 0.75    |
| Gingerman biscuit                                                                      | 1495.83   | 357.43      | 55.24  | 6.26      | 12.73 | 21.64       | 2       |
| Coffee drops                                                                           | 1850.76   | 443.07      | 43.06  | 7.57      | 27.16 | 18.27       | 1.88    |
| Christmas biscuit                                                                      | 1697.5    | 406.07      | 60.97  | 5.67      | 15.88 | 26.01       | 2.17    |
| Christmas wreath biscuit                                                               | 1613.81   | 386.05      | 58.07  | 5.43      | 15.01 | 24.89       | 2.28    |
| Christmas bell biscuit                                                                 | 1692.4    | 404.85      | 60.79  | 5.66      | 15.84 | 25.94       | 2.33    |
| Christmas star biscuit                                                                 | 1652.38   | 392.03      | 74.54  | 3.54      | 10.04 | 53.05       | 1.47    |
| Christmas tree biscuit                                                                 | 1612.1    | 385.63      | 58.41  | 5.43      | 15    | 24.77       | 2.65    |
| Chocolate cream shells                                                                 | 1786.52   | 427.17      | 59.26  | 5.1       | 19.34 | 34.72       | 0.9     |
| Jelly biscuit                                                                          | 1695.15   | 404.61      | 55.24  | 4.23      | 19.33 | 29.76       | 2.02    |
| Cherry and walnut cookies                                                              | 1772.21   | 422.6       | 59.35  | 5.63      | 18.75 | 30.37       | 1.3     |
| Cheese straws                                                                          | 1586.28   | 382         | 30.61  | 9.83      | 24.28 | 1.79        | 1.29    |
| Butterfly biscuit                                                                      | 1418.18   | 341.45      | 25.33  | 9.98      | 22.11 | 2.44        | 1.02    |
| Flan pastry                                                                            | 1851.27   | 445.8       | 47.84  | 6.72      | 25.04 | 6.22        | 1.58    |
| Fruit flan                                                                             | 1087.8    | 261.35      | 34.71  | 3.3       | 12.48 | 9.52        | 0.71    |
| Orange cream flan                                                                      | 1173.35   | 280.28      | 36.16  | 4.73      | 13.59 | 25.27       | 0.63    |
| Fruit puree tart                                                                       | 1190.17   | 286.5       | 30.42  | 3.35      | 16.83 | 9.79        | 1.31    |
| Apple banana pie                                                                       | 1017.17   | 243.99      | 32.12  | 3.13      | 11.39 | 12.96       | 1.89    |
| Lemon chiffon pie                                                                      | 1079.99   | 259.31      | 27.63  | 4.88      | 14.52 | 11.39       | 0.66    |
| Orange chiffon pie                                                                     | 864.81    | 207.57      | 23.14  | 3.89      | 11.16 | 10.46       | 0.7     |
| Cream buns                                                                             | 895.95    | 215.74      | 14.16  | 4.45      | 15.81 | 5.95        | 0.31    |
| Savoury puffs                                                                          | 793.43    | 190.79      | 10.8   | 9.51      | 15.24 | 4.51        | 0.33    |
| Choux swans                                                                            | 898.83    | 216.34      | 14.92  | 4.35      | 15.6  | 6.13        | 0.35    |
| Potato aigrettes                                                                       | 2182.95   | 530.03      | 8.01   | 2.35      | 54.24 | 0.73        | 0.45    |
| Cream horns                                                                            | 1687.81   | 408.23      | 23.12  | 3.42      | 33.55 | 7.12        | 0.6     |
| Savoury cheese horns                                                                   | 1224.1    | 295.15      | 21.38  | 5.66      | 20.71 | 2.74        | 0.73    |
| Paneer patties                                                                         | 1403.85   | 338.58      | 22.79  | 7.6       | 23.96 | 4.04        | 1.18    |
| Vegetable patties                                                                      | 1084.76   | 261.92      | 20.98  | 4.01      | 17.74 | 1.49        | 2.62    |
| Pearl millet infant food (Bajra shishu aahaar)                                         | 1516.5    | 362.44      | 62.1   | 11.98     | 6.62  | 26.06       | 7.84    |
| Sajina                                                                                 | 1444.6    | 345.26      | 66.87  | 10.81     | 3.03  | 25.89       | 7.62    |
| Cereal mix                                                                             | 505.48    | 120.81      | 21.84  | 3.32      | 2.02  | 10.68       | 2.03    |
| Pulse mix                                                                              | 348.5     | 83.29       | 16     | 3.16      | 0.54  | 6.59        | 2.25    |
| Shishu ahar                                                                            | 391.7     | 93.37       | 17.42  | 2.61      | 1.43  | 6.61        | 1.02    |
| Cereal pulse mix with amylase rice flour                                               | 637.02    | 151.57      | 27.8   | 4.27      | 2.74  | 8.84        | 3.47    |
| Banana groundnut paste/puree                                                           | 892       | 213.19      | 36.15  | 4.27      | 5.45  | 31.67       | 1.7     |
| Rice dal porridge (Chawal dal ki khichdi/khichri)                                      | 1603.9    | 383.33      | 65.04  | 10.8      | 8.33  | 26.54       | 4.51    |
| Lentils and semolina porridge (Dal suji porridge/daliya)                               | 490.75    | 117.29      | 23.19  | 3.26      | 1.06  | 13.84       | 1.44    |
| Spinach khichri (Palak khichri/khichdi)                                                | 426.44    | 102.18      | 17.35  | 3.43      | 1.91  | 0.21        | 1.56    |
| Vegetable mix                                                                          | 729.4     | 174.21      | 36.02  | 4.7       | 0.94  | 27.36       | 1.93    |
| Lentils and wheat porridge (Dal wheat porridge/daliya )                                | 219.82    | 52.54       | 8.36   | 2.71      | 0.94  | 0.92        | 1.28    |
| Maize porridge                                                                         | 373.81    | 89.57       | 15.64  | 2.14      | 1.89  | 7.69        | 1.68    |
| Spinach peanut burfi (Palak aur mungfali ki burfi)                                     | 444.17    | 105.37      | 13.59  | 3.36      | 4.39  | 11.5        | 2.07    |
| Split bengal gram burfi/fudge (Channa dal burfi)                                       | 1215.63   | 287.36      | 54.63  | 4.65      | 7.09  | 43.38       | 2.06    |
| Chickpea flour cookies (Sweet besan rounds/cookies)                                    | 867.72    | 207.01      | 39.64  | 4.29      | 3.42  | 30.66       | 2.56    |
| Pearl millet mathri (Bajra mathri)                                                     | 3231.65   | 785.08      | 7.42   | 1.82      | 83.12 | 0.16        | 1.36    |
| Sesame biscuit (Til ke biscuit)                                                        | 1767.18   | 424.03      | 53.65  | 8.27      | 19.34 | 29.73       | 6.83    |
| Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada)                  | 2707.74   | 657.57      | 8.68   | 4.05      | 67.19 | 0.35        | 2.65    |
| Poshtik namak paras                                                                    | 2534.41   | 613.39      | 19.52  | 6.49      | 56.58 | 0.87        | 4.55    |
| Soya chikki                                                                            | 1764.45   | 423.7       | 62.89  | 7.18      | 15.51 | 45.47       | 3.55    |
| Besan bathua chilla/cheela                                                             | 1560.66   | 373.82      | 40.65  | 11.48     | 18.57 | 1.45        | 7.79    |
| Wheat flour and nuts ladoos (Atta nuts ladoos)                                         | 1633.28   | 391.9       | 44.31  | 9.46      | 19.19 | 15.94       | 7.3     |
| Gram flour and semolina dhokla (Besan suji dhokla)                                     | 834.64    | 198.91      | 25.92  | 8.52      | 7.1   | 2.58        | 4.59    |
| Atta dal burfi                                                                         | 1250.23   | 298.8       | 40.64  | 6.66      | 12.47 | 21.08       | 4.08    |
| Soya roti                                                                              | 1183.77   | 283.96      | 40.03  | 9.18      | 9.23  | 1.58        | 8.71    |
| Poshtik khichdi/khichri                                                                | 390.17    | 93.37       | 15.64  | 3.04      | 1.88  | 0.26        | 2       |
| Namkeen daliya                                                                         | 1230.1    | 295.11      | 49.32  | 8.29      | 7.99  | 0.82        | 8.57    |
| Sprouts upma                                                                           | 1318.5    | 316.25      | 44.96  | 9.5       | 10.44 | 1.67        | 7.16    |
| Semolina idli (Suji/Rava idli)                                                         | 864.39    | 206.39      | 33.67  | 9.34      | 3.47  | 3.42        | 5.85    |
| Poshtik chilla/cheela                                                                  | 665.91    | 159.53      | 27.47  | 4.85      | 3.04  | 1.22        | 4.91    |
| Stuffed bittergourd (dry) (Bharwa karela)                                              | 896.16    | 217.65      | 2.49   | 1.29      | 22.38 | 0.07        | 3       |
| Cauliflower potato canjee                                                              | 70.25     | 16.79       | 2.63   | 0.57      | 0.39  | 0.13        | 0.69    |
| Creamed spinach                                                                        | 403.43    | 96.91       | 4.44   | 5.18      | 6.39  | 1.59        | 1.33    |
| Mango milkshake with ice cream (Aam milkshake ice cream��ke��saath)                    | 287.54    | 68.35       | 9.18   | 1.93      | 2.8   | 9.11        | 0.23    |
| Pineapple milkshake with ice cream (Ananas milkshake ice cream��ke��saath)             | 288.13    | 68.49       | 9.33   | 1.93      | 2.75  | 9.2         | 0.42    |
| Orange milkshake with ice cream (Narangi milkshake ice cream��ke��saath)               | 285.31    | 67.82       | 9.15   | 1.95      | 2.75  | 9           | 0.16    |
| Woodapple juice (Bel ka sharbat)                                                       | 144.5     | 34.18       | 6.51   | 0.63      | 0.7   | 5.75        | 1.03    |
| Sattu drink                                                                            | 98.99     | 23.38       | 5.16   | 0.56      | 0.14  | 3.96        | 0.4     |
| Apple and honey sorbet (Seb aur shehad ka sharbat)                                     | 515.02    | 121.3       | 30.74  | 0.15      | 0.29  | 29.18       | 1.13    |
| Thandai                                                                                | 424.55    | 101.18      | 9.13   | 3.59      | 5.89  | 8.21        | 0.8     |
| Cucumber sharbat (Kheere ka sharbat)                                                   | 115.77    | 27.28       | 6.64   | 0.26      | 0.06  | 5.46        | 0.78    |
| Apple oats chia seed smoothie                                                          | 361.61    | 85.64       | 13.07  | 3.49      | 2.48  | 5.76        | 1.44    |
| Nannari sharbat                                                                        | 378.57    | 88.79       | 23.62  | 0.01      | 0.01  | 23.58       | 0       |
| Semolina milk drink (Thari kanji)                                                      | 185.09    | 44.16       | 6.93   | 0.98      | 1.36  | 3.88        | 0.72    |
| Saffron milk (Kesariya doodh)                                                          | 429.93    | 102.18      | 12.64  | 3.17      | 4.57  | 12.5        | 0.14    |
| Black rice kheer (Chak-hao kheer)                                                      | 621.5     | 147.94      | 22.93  | 4.37      | 4.91  | 12.57       | 0.76    |
| Coconut kheer (Nariyal ki kheer)                                                       | 683.01    | 162.61      | 14.42  | 3.4       | 10.55 | 13.73       | 1.53    |
| Apple sago payasam (Seb aur sabudana ki kheer)                                         | 571.98    | 136.5       | 14.4   | 3.13      | 7.66  | 10.63       | 0.38    |
| Kesari bath                                                                            | 1022.15   | 244.57      | 31.38  | 2.4       | 12.59 | 20.16       | 1.65    |
| Putharekulu                                                                            | 1334.19   | 318.3       | 59.61  | 3.66      | 7.55  | 23.86       | 1.75    |
| Mango malpua                                                                           | 1381.8    | 334.64      | 12.84  | 1.65      | 30.67 | 4.96        | 2.08    |
| Mango vanilla custard                                                                  | 620.73    | 147.63      | 18.41  | 3.43      | 7.04  | 14.62       | 0.99    |
| Kiwi granola pudding                                                                   | 1182.49   | 280.99      | 32.33  | 5.6       | 15.36 | 15.08       | 3.71    |
| Oats burfi                                                                             | 1793.8    | 425.19      | 62.47  | 8.89      | 17.27 | 32.93       | 4.96    |
| Lotus seed halwa (Kamal gattay ka halwa)                                               | 1542.2    | 370.55      | 39.56  | 7.79      | 20.69 | 9.8         | 0.42    |
| Amaranth ladoo (Rajgira ladoo)                                                         | 1891.64   | 454.15      | 51.33  | 10.12     | 22.7  | 19.92       | 5.11    |
| Chhena poda                                                                            | 1447.91   | 344.57      | 33.64  | 13.68     | 17.94 | 30.65       | 1.4     |
| Sweet couscous dessert                                                                 | 827.12    | 196.2       | 29.69  | 3.81      | 7.69  | 15.89       | 2.18    |
| Sweetened yogurt (Shrikhand)                                                           | 453.48    | 107.18      | 16.02  | 5.27      | 2.89  | 15.81       | 0.08    |
| Thickened sweetened milk (Rabri)                                                       | 431.75    | 102.79      | 10.55  | 3.52      | 5.35  | 10.09       | 0.19    |
| Gram flour halwa (Besan halwa)                                                         | 1156.72   | 276.79      | 25.78  | 5.88      | 17.3  | 15.83       | 1.82    |
| Prawn sandwich                                                                         | 708.6     | 169.65      | 11.89  | 10.36     | 9.27  | 1.21        | 1.55    |
| Watercress sandwich                                                                    | 962.39    | 229.42      | 28.03  | 5.17      | 11.47 | 1.81        | 2.26    |
| Fish sandwich                                                                          | 627.64    | 150.2       | 10.09  | 4.72      | 10.37 | 1.04        | 1.23    |
| Kidney bean sandwich with cottage cheese                                               | 739.56    | 176.64      | 18.86  | 9.85      | 6.84  | 3.69        | 3.66    |
| Finger millet biscuit (Ragi biscuit)                                                   | 1907.85   | 458.56      | 52.69  | 4.03      | 25.79 | 16.9        | 5.97    |
| Buttermilk biscuit                                                                     | 1339.64   | 322.54      | 34.93  | 5.76      | 17.5  | 3.44        | 1.18    |
| Lemon cookies                                                                          | 1643.42   | 394.48      | 42.19  | 5.63      | 23.02 | 23.47       | 0.78    |
| Sweet potato biscuit (Shakarkand ke biscuit)                                           | 1232.25   | 296.4       | 38.13  | 5.14      | 13.31 | 2.53        | 2.27    |
| Raspberry shortbread cookies                                                           | 1842.71   | 441.12      | 61.25  | 3         | 21.25 | 40.86       | 0.75    |
| Pumpkin cookies                                                                        | 920.79    | 218.4       | 44.69  | 2.51      | 3.93  | 31.62       | 1.06    |
| Greenpea cookies                                                                       | 666.9     | 159.42      | 23.07  | 6.53      | 4.24  | 14.45       | 5.32    |
| Sunflower cookies                                                                      | 2178.56   | 520.62      | 40.06  | 9.49      | 36.28 | 24.28       | 3.95    |
| Cardamom cookies (Elaichi cookies)                                                     | 1675.99   | 400.49      | 53.99  | 5.1       | 19.12 | 38.99       | 2.79    |
| Hazelnut cookies                                                                       | 2049.2    | 493.32      | 39.44  | 6.25      | 34.97 | 22.01       | 2.45    |
| Milk cookies                                                                           | 1911.43   | 459.43      | 48.43  | 10.49     | 24.96 | 22.06       | 0.99    |
| Cranberry cookies                                                                      | 1138.18   | 272.48      | 36.39  | 3.92      | 12.66 | 19.96       | 1.13    |
| Olive biscuit                                                                          | 1829.9    | 438.29      | 55.01  | 3.2       | 23.75 | 32.27       | 0.82    |
| Tutti fruitti biscuit                                                                  | 1749.34   | 420.78      | 53.12  | 5.21      | 17.9  | 15.75       | 5.43    |
| Peach blueberry preserves                                                              | 754.71    | 177.38      | 45.76  | 0.53      | 0.2   | 45.33       | 1.14    |
| Pear preserves (Naashpati ka murabba)                                                  | 429.63    | 101.24      | 25.67  | 0.25      | 0.19  | 25.19       | 3.06    |
| Starfruit preserves                                                                    | 549.14    | 128.93      | 33.62  | 0.24      | 0.12  | 33.47       | 0.78    |
| Gooseberry pickle (Amla ka achaar)                                                     | 1165.95   | 278.58      | 7.61   | 1.55      | 27.61 | 0.36        | 3.7     |
| Lotus stem pickle (Kamal kakdi ka achar)                                               | 429.02    | 102.69      | 20.07  | 1.44      | 1.6   | 2.53        | 8.58    |
| Date pickle (Khajoor ka achaar)                                                        | 760.31    | 182.29      | 34.66  | 1.68      | 4.21  | 30.47       | 5.2     |
| Garlic pickle (Lahasun ka achar)                                                       | 1705.32   | 413.62      | 9.75   | 3.72      | 39.88 | 2.32        | 5.13    |
| Fermented bamboo shoot pickle (Mesu pickle)                                            | 250.4     | 59.83       | 1.73   | 1.58      | 5.59  | 0.29        | 2.24    |
| Sweet peach pickle (Aadoo ka achaar)                                                   | 614.94    | 144.64      | 37.01  | 0.46      | 0.2   | 36.46       | 1.32    |
| Pickled mustard greens                                                                 | 54.9      | 13.12       | 1.05   | 1.51      | 0.22  | 0.02        | 1.7     |
| Small onion pickle                                                                     | 72.36     | 16.86       | 2.76   | 1.65      | 0.64  | 2.99        | 1.09    |
| Green tomato pickle (Haray tamatar ka achaar)                                          | 796.26    | 193.26      | 2.87   | 1.23      | 19.67 | 0.77        | 1.74    |
| Pickled cabbage                                                                        | 57.58     | 13.69       | 2.56   | 0.39      | 0.14  | 2.08        | 0.61    |
| Coconut pickle (Nariyal ka aachar)                                                     | 2138.84   | 517.26      | 11.53  | 3.02      | 51.71 | 8.98        | 6.35    |
| Potato pickle (Aloo ka achaar)                                                         | 1522.11   | 369.14      | 7.87   | 2.07      | 36.46 | 0.82        | 2.21    |
| Mango murabba candy                                                                    | 1249.53   | 293.35      | 77.32  | 0.27      | 0.05  | 74.73       | 0.95    |
| Afghani chicken                                                                        | 633.34    | 151.51      | 1.95   | 15.66     | 9.07  | 0.83        | 0.31    |
| Fish orly                                                                              | 2321.86   | 563.7       | 4.27   | 5.87      | 58.18 | 0.24        | 0.33    |
| Hariyali Fish Tikka                                                                    | 625.11    | 150.24      | 2.21   | 14.01     | 9.41  | 0.83        | 0.99    |
| Chicken manchurian                                                                     | 592.26    | 142.34      | 6.06   | 9.53      | 11.96 | 0.9         | 0.41    |
| Handi chicken                                                                          | 694.87    | 166.02      | 1.49   | 12.32     | 12.46 | 0.75        | 0.67    |
| Lemon chicken                                                                          | 709.57    | 169.79      | 0.55   | 20.2      | 9.66  | 0.16        | 0.16    |
| Lemon butter fish                                                                      | 666.72    | 160.25      | 0.75   | 16.38     | 10.26 | 0.23        | 0.36    |
| Baked eggs in tomato sauce                                                             | 335.9     | 80.05       | 3.78   | 4.92      | 5.22  | 2.03        | 0.01    |
| Egg in a pepper                                                                        | 538.83    | 128.78      | 0.17   | 12.64     | 8.68  | 0.05        | 0.17    |
| Spinach mushroom scrambled egg (Palak mushroom bhurji)                                 | 663.88    | 158.85      | 0.59   | 13.28     | 11.51 | 0.1         | 0.39    |
| Corn omelette/omlet                                                                    | 695.24    | 166.93      | 1.57   | 11.37     | 12.89 | 0.41        | 0.02    |
| Cajun chicken                                                                          | 768.11    | 184.94      | 1.94   | 12.69     | 13.99 | 1.1         | 0.89    |
| Paaner do pyaza                                                                        | 529.49    | 127.7       | 3.41   | 4.22      | 10.87 | 2.2         | 0.84    |
| Cabbage manchurian (Pattagobhi manchurian)                                             | 924.16    | 224.26      | 4.85   | 0.64      | 22.48 | 0.33        | 0.37    |
| Gobi 65                                                                                | 1145.98   | 278.29      | 3.59   | 0.56      | 29.11 | 0.29        | 0.57    |
| Paneer lababdar                                                                        | 437.87    | 105.48      | 3.37   | 3.98      | 8.46  | 1.96        | 1.16    |
| Roasted cauliflower steak                                                              | 325.09    | 78.68       | 2.02   | 2.05      | 6.7   | 0.44        | 3.53    |
| Sauteed radishes with green beans                                                      | 392.94    | 94.32       | 6.04   | 2.41      | 6.61  | 1.78        | 3.52    |
| Garlic chutney/Poondu chutney (Lahasun ki chutney)                                     | 1059.37   | 255.51      | 20.44  | 3.34      | 17.55 | 13.36       | 5.15    |
| Schezwan chutney                                                                       | 849.31    | 205.19      | 10.79  | 3.33      | 17.72 | 5.66        | 5.72    |
| Onion chutney (Pyaaz ki chutney/Vengaya chutney)                                       | 597.26    | 143.94      | 13.52  | 2.97      | 8.38  | 6.8         | 4.6     |
| Dates chutney (Khajoor ki chutney)                                                     | 432.86    | 103.57      | 21.69  | 1.07      | 1.12  | 18.68       | 3.41    |
| Chicken salad                                                                          | 1404.73   | 338.19      | 1.3    | 15.33     | 30.26 | 0.96        | 2       |
| Macaroni salad                                                                         | 1095.94   | 262.19      | 21.63  | 5.02      | 17.78 | 3.73        | 0.56    |
| Cabbage raita (Pattagobhi raita)                                                       | 355.76    | 84.84       | 5.25   | 3.24      | 5.76  | 4.21        | 0.93    |
| Pomegranate raita (Anaar ka raita)                                                     | 304.99    | 72.64       | 7.15   | 4.05      | 3.24  | 7.01        | 0.6     |
| Onion raita (Pyaaz ka raita)                                                           | 301.33    | 71.56       | 7.86   | 4.86      | 2.43  | 7.07        | 0.65    |
| Green chilli raita (Hari mirch ka raita)                                               | 325.06    | 77.13       | 7.66   | 5.58      | 2.92  | 7.49        | 0.26    |
| Kale salad                                                                             | 737.53    | 177.71      | 5.01   | 4.86      | 15.33 | 3.31        | 1.36    |
| Spinach and paneer souffle                                                             | 779.43    | 186.19      | 9.64   | 7.56      | 13.49 | 2.81        | 1.07    |
| Masala souffle                                                                         | 514.23    | 123.51      | 8.02   | 6.38      | 7.37  | 1.84        | 1.24    |
| Chicken and cheese souffle                                                             | 758.11    | 182.35      | 3.47   | 9.07      | 14.74 | 2.46        | 0.26    |
| Tamarind chutney (Chintapandu pachadi/Puli chutney)                                    | 456.54    | 109.15      | 25.07  | 0.88      | 0.48  | 22.85       | 1.65    |
| Pav bhaji masala                                                                       | 964.64    | 230.47      | 29.15  | 9.13      | 10.96 | 1.48        | 24.3    |
| Green chutney                                                                          | 332.29    | 79.42       | 10.01  | 5.42      | 1.6   | 0.92        | 5.84    |
| Sago khitchdi/khichri (Sabudana khitchdi/khichri)                                      | 785.65    | 187.16      | 22.41  | 2.72      | 10.1  | 1.03        | 1.82    |
| Gram flour chilla/cheela (Besan chilla/cheela)                                         | 575.24    | 135.93      | 21.03  | 7.8       | 2.85  | 1.87        | 4.25    |
| Vegetable namkeen jave                                                                 | 468.29    | 112.23      | 18.98  | 2.93      | 2.51  | 1.04        | 2.86    |
| Khakhra                                                                                | 743.92    | 178.5       | 27.66  | 4.78      | 5.32  | 0.88        | 5.43    |
